"STATE","HUC12"
"Maine","010200040303"
"Maine","010200040304"
"Maine","010200040305"
"Maine","010200040306"
"Maine","010200040307"
"Maine","010200040308"
"Maine","010200040309"
"Maine","010200040310"
"Maine","010200040311"
"Maine","010200040312"
"Maine","010200040401"
"Maine","010200040402"
"Maine","010200040403"
"Maine","010200040404"
"Maine","010200040405"
"Maine","010200040406"
"Maine","010200040407"
"Maine","010200040408"
"Maine","010200040409"
"Maine","010200040410"
"Maine","010200040501"
"Maine","010200040502"
"Maine","010200040503"
"Maine","010200040504"
"Maine","010200040601"
"Maine","010200040602"
"Maine","010200040603"
"Maine","010200040604"
"Maine","010200050101"
"Maine","010200050102"
"Maine","010200050103"
"Maine","010200050104"
"Maine","010200050201"
"Maine","010200050202"
"Maine","010200050203"
"Maine","010200050204"
"Maine","010200050205"
"Maine","010200050206"
"Maine","010200050207"
"Maine","010200050208"
"Maine","010200050301"
"Maine","010200050302"
"Maine","010200050303"
"Maine","010200050304"
"Maine","010200050305"
"Maine","010200050306"
"Maine","010200050307"
"Maine","010200050308"
"Maine","010200050309"
"Maine","010200050310"
"Maine","010200050311"
"Maine","010200050401"
"Maine","010200050402"
"Maine","010200050403"
"Maine","010200050404"
"Maine","010200050405"
"Maine","010200050406"
"Maine","010200050407"
"Maine","010200050408"
"Maine","010200050501"
"Maine","010200050502"
"Maine","010200050503"
"Maine","010200050504"
"Maine","010200050505"
"Maine","010200050506"
"Maine","010200050507"
"Maine","010200050508"
"Maine","010200050509"
"Maine","010200050510"
"Maine","010200050601"
"Maine","010200050602"
"Maine","010200050603"
"Maine","010200050701"
"Maine","010200050702"
"Maine","010200050703"
"Maine","010200050704"
"Maine","010200050705"
"Maine","010200050706"
"Maine","010200050707"
"Maine","010200050801"
"Maine","010200050802"
"Maine","010200050803"
"Maine","010200050804"
"Maine","010200050805"
"Maine","010200050901"
"Maine","010200050902"
"Maine","010200050903"
"Maine","010200050904"
"Maine","010200050905"
"Maine","010200050906"
"Maine","010200051001"
"Maine","010200051002"
"Maine","010200051003"
"Maine","010200051004"
"Maine","010200051005"
"Maine","010200051006"
"Maine","010200051007"
"Maine","010200051008"
"Maine","010200051009"
"Maine","010300010101"
"Maine","010300010102"
"Maine","010300010201"
"Maine","010300010202"
"Maine","010300010203"
"Maine","010300010204"
"Maine","010300010205"
"Maine","010300010206"
"Maine","010300010301"
"Maine","010300010302"
"Maine","010300010303"
"Maine","010300010304"
"Maine","010300010305"
"Maine","010300010306"
"Maine","010300010307"
"Maine","010300010308"
"Maine","010300010309"
"Maine","010300010310"
"Maine","010300010401"
"Maine","010300010402"
"Maine","010300010403"
"Maine","010300010404"
"Maine","010300010501"
"Maine","010300010502"
"Maine","010300010503"
"Maine","010300010504"
"Maine","010300010505"
"Maine","010300010506"
"Maine","010300010507"
"Maine","010300010508"
"Maine","010300010509"
"Maine","010300010510"
"Maine","010300010601"
"Maine","010300010602"
"Maine","010300010603"
"Maine","010300010604"
"Maine","010300010605"
"Maine","010300010606"
"Maine","010300010607"
"Maine","010300010608"
"Maine","010300010609"
"Maine","010300010610"
"Maine","010300020101"
"Maine","010300020102"
"Maine","010300020103"
"Maine","010300020104"
"Maine","010300020105"
"Maine","010300020106"
"Maine","010300020201"
"Maine","010300020202"
"Maine","010300020203"
"Maine","010300020204"
"Maine","010300020301"
"Maine","010300020302"
"Maine","010300020303"
"Maine","010300020304"
"Maine","010300020401"
"Maine","010300020402"
"Maine","010300020403"
"Maine","010300020404"
"Maine","010300020405"
"Maine","010300020406"
"Maine","010300020501"
"Maine","010300020502"
"Maine","010300020503"
"Maine","010300020504"
"Maine","010300020505"
"Maine","010300020506"
"Maine","010300030101"
"Maine","010300030102"
"Maine","010300030103"
"Maine","010300030104"
"Maine","010300030105"
"Maine","010300030106"
"Maine","010300030201"
"Maine","010300030202"
"Maine","010300030203"
"Maine","010300030301"
"Maine","010300030302"
"Maine","010300030303"
"Maine","010300030304"
"Maine","010300030401"
"Maine","010300030402"
"Maine","010300030501"
"Maine","010300030502"
"Maine","010300030503"
"Maine","010300030601"
"Maine","010300030602"
"Maine","010300030701"
"Maine","010300030702"
"Maine","010300030703"
"Maine","010300030801"
"Maine","010300030802"
"Maine","010300030803"
"Maine","010300030804"
"Maine","010300030901"
"Maine","010300030902"
"Maine","010300030903"
"Maine","010300030904"
"Maine","010300030905"
"Maine","010300031001"
"Maine","010300031002"
"Maine","010300031003"
"Maine","010300031004"
"Maine","010300031101"
"Maine","010300031102"
"Maine","010300031103"
"Maine","010300031201"
"Maine","010300031202"
"Maine","010300031203"
"Maine","010300031204"
"Maine","010300031205"
"Maine","010300031206"
"Maine","010300031301"
"Maine","010300031302"
"Maine","010300031401"
"Maine","010300031402"
"Maine","010300031403"
"Maine","010300031404"
"Maine","010300031405"
"Maine","010300031501"
"Maine","010300031502"
"Maine","010300031503"
"Maine","010300031504"
"Maine","010300031505"
"Maine","010300031506"
"Maine","010300031507"
"Maine","010300031601"
"Maine","010300031602"
"Maine","010300031603"
"Maine","010300031604"
"Maine","010300031605"
"Maine","010300031606"
"Maine","010300031701"
"Maine","010300031702"
"Maine","010300031801"
"Maine","010300031802"
"Maine","010300031803"
"Maine","010300031804"
"Maine","010300031805"
"Maine","010300031806"
"Maine","010300031901"
"Maine","010300031902"
"Maine","010300031903"
"Maine","010300031904"
"Maine","010300032001"
"Maine","010300032002"
"Maine","010300032003"
"Maine","010300032004"
"Maine","010300032005"
"Maine","010300032101"
"Maine","010300032102"
"Maine","010300032103"
"Maine","010300032104"
"Maine","010300032105"
"Maine","010300032106"
"Maine","010300032201"
"Maine","010300032202"
"Maine","010300032203"
"Maine","010300032204"
"Maine","010300032205"
"Maine","010300032301"
"Maine","010300032302"
"Maine","010300032303"
"Maine","010300032304"
"Maine","010300032305"
"Maine","010300032306"
"Maine","010300032307"
"Maine","010300032308"
"Maine","010300032309"
"Maine","010300032401"
"Maine","010300032402"
"Maine","010300032403"
"Maine","010300032404"
"Maine","010300032405"
"Maine","010300032406"
"Maine","010300032407"
"Maine","010300032408"
"Maine","010300032409"
"Maine","010400010101"
"Maine","010400010102"
"Maine","010400010103"
"Maine","010400010104"
"Maine","010400010105"
"Maine","010400010106"
"Maine","010400010107"
"Maine","010400010108"
"Maine","010400010109"
"Maine","010400010110"
"Maine","010400010201"
"New Hampshire","010400010201"
"Maine","010400010202"
"Maine","010400010203"
"New Hampshire","010400010203"
"Maine","010400010301"
"Maine","010400010302"
"New Hampshire","010400010302"
"Maine","010400010303"
"New Hampshire","010400010303"
"Maine","010400010304"
"New Hampshire","010400010304"
"Maine","010400010305"
"New Hampshire","010400010305"
"Maine","010400010306"
"New Hampshire","010400010306"
"New Hampshire","010400010401"
"New Hampshire","010400010402"
"New Hampshire","010400010403"
"New Hampshire","010400010404"
"New Hampshire","010400010405"
"Maine","010400010406"
"New Hampshire","010400010406"
"New Hampshire","010400010501"
"New Hampshire","010400010502"
"Maine","010400010601"
"New Hampshire","010400010601"
"New Hampshire","010400010602"
"New Hampshire","010400010603"
"Maine","010400010604"
"New Hampshire","010400010604"
"Maine","010400010605"
"New Hampshire","010400010605"
"New Hampshire","010400010606"
"New Hampshire","010400010607"
"New Hampshire","010400020101"
"New Hampshire","010400020102"
"Maine","010400020103"
"New Hampshire","010400020103"
"Maine","010400020201"
"New Hampshire","010400020201"
"Maine","010400020202"
"Maine","010400020203"
"Maine","010400020204"
"Maine","010400020205"
"Maine","010400020206"
"Maine","010400020207"
"Maine","010400020301"
"Maine","010400020302"
"Maine","010400020303"
"Maine","010400020304"
"Maine","010400020305"
"Maine","010400020401"
"Maine","010400020402"
"Maine","010400020403"
"Maine","010400020404"
"Maine","010400020405"
"Maine","010400020406"
"Maine","010400020501"
"Maine","010400020502"
"Maine","010400020503"
"Maine","010400020504"
"Maine","010400020505"
"Maine","010400020601"
"Maine","010400020602"
"Maine","010400020603"
"Maine","010400020604"
"Maine","010400020605"
"Maine","010400020606"
"Maine","010400020701"
"Maine","010400020702"
"Maine","010400020703"
"Maine","010400020704"
"Maine","010400020801"
"Maine","010400020802"
"Maine","010400020803"
"Maine","010400020901"
"Maine","010400020902"
"Maine","010400020903"
"Maine","010400020904"
"Maine","010400020905"
"Maine","010400020906"
"Maine","010400020907"
"Maine","010400020908"
"Maine","010400020909"
"Maine","010400020910"
"Maine","010400021001"
"Maine","010400021002"
"Maine","010400021003"
"Maine","010400021004"
"Maine","010400021005"
"Maine","010400021006"
"Maine","010400021007"
"Maine","010500010101"
"Maine","010500010102"
"Maine","010500010207"
"Maine","010500010301"
"Maine","010500010302"
"Maine","010500010303"
"Maine","010500010304"
"Maine","010500010305"
"Maine","010500010306"
"Maine","010500010307"
"Maine","010500010401"
"Maine","010500010402"
"Maine","010500010403"
"Maine","010500010404"
"Maine","010500010501"
"Maine","010500010502"
"Maine","010500010503"
"Maine","010500010504"
"Maine","010500010505"
"Maine","010500010506"
"Maine","010500010601"
"Maine","010500010602"
"Maine","010500010603"
"Maine","010500010604"
"Maine","010500010605"
"Maine","010500010606"
"Maine","010500010701"
"Maine","010500010702"
"Maine","010500010705"
"Maine","010500010706"
"Maine","010500010707"
"Maine","010500010708"
"Maine","010500010801"
"Maine","010500010802"
"Maine","010500010804"
"Maine","010500010806"
"Maine","010500010809"
"Maine","010500010810"
"Maine","010500020101"
"Maine","010500020102"
"Maine","010500020103"
