HUC12,Lake_Chla,Obs_HABs_Treat_Num,Obs_HABs_Treat_Risk,Obs_Deficiencies_n,Obs_AltSource,Obs_Cyano_ugl,Obs_DBP_Viol_n,Obs_Tot_Carbon_tt_n,Obs_turb_exceed_n,Obs_RTCR_mcl_n,Obs_HAB_DW_Risk,Obs_DW_Ops_Risk,Obs_Lake_Risk,Obs_DW_Viol_Risk,Pred_Cyan_ugl,Pred_DBP_freq,Pred_DWOps_Risk,Pred_Lake_Risk,Pred_HABDW_Risk,Est_HABDW_Risk,Est_DWOps_Risk,Est_Lake_Risk
10500030502,4.288244939,3,0.733333333,0,1,0.07,0,0,0,0,0.41073911,0.334812656,0.198172309,0,0.072228803,3.752560224,0.335817842,0.198064687,0.412577118,0.34618238,0.273703123,0.220294132
10500040204,4.22563591,6,0.4,1,1,NA,20,0,0,0,0.364781109,0.25511453,0.199186608,0.038095238,0.053015155,21.57983333,0.25985566,0.215379352,0.375155828,0.434908261,0.377078586,0.221421656
10500040606,4.22563591,6,0.4,1,1,NA,20,0,0,0,0.364781109,0.25511453,0.199186608,0.038095238,0.053015155,21.57983333,0.25985566,0.215379352,0.375155828,0.434908261,0.377078586,0.221421656
10600010104,4.346224536,2,0.8,0,1,NA,0,0,0,0,0.420751688,0.351129363,0.194848165,0,0.04905365,5.246272727,0.351497847,0.194966327,0.421155464,0.327434868,0.253196931,0.216598916
10600010110,3.769648506,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.176488478,0,0.048961418,9.499267949,0.394390133,0.186988593,0.500958738,0.277623399,0.206022856,0.196189752
10600010304,3.769648506,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.176488478,0,0.048961418,9.499267949,0.394390133,0.186988593,0.500958738,0.277623399,0.206022856,0.196189752
10600020403,4.346224536,2,0.8,0,1,NA,0,0,0,0,0.420751688,0.351129363,0.194848165,0,0.04905365,5.246272727,0.351497847,0.194966327,0.421155464,0.327434868,0.253196931,0.216598916
10600020501,4.346224536,2,0.8,0,1,NA,0,0,0,0,0.420751688,0.351129363,0.194848165,0,0.04905365,5.246272727,0.351497847,0.194966327,0.421155464,0.327434868,0.253196931,0.216598916
10600020702,2.833636953,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.195246989,0,0.049094382,5.331924009,0.349165585,0.202002751,0.481141271,0.289326194,0.206022856,0.217042261
10600030602,5.227451045,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198326412,0,0.058344815,7.137903175,0.348650721,0.207189664,0.467580378,0.291247341,0.206022856,0.220465438
10600030606,5.227451045,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.198326412,0,0.058344815,7.137903175,0.348650721,0.207189664,0.467580378,0.291247341,0.206022856,0.220465438
10600030805,6.991671369,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.199290096,0,0.073227197,9.964380952,0.345328271,0.256096137,0.480720097,0.29184855,0.206022856,0.221536696
10600030806,6.991671369,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.199290096,0,0.073227197,9.964380952,0.345328271,0.256096137,0.480720097,0.29184855,0.206022856,0.221536696
10600030902,5.054211286,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,0.19920228,0,0.061964527,10.52320606,0.347652686,0.211937317,0.482616481,0.291793765,0.206022856,0.221439078
